"ZCTA","Total_Doses","People_1_dose","People_all_doses"
"73949",9,7,0
"75001",2612,1731,881
"75002",14433,10021,4412
"75006",7475,5120,2355
"75007",10484,7319,3165
"75009",3410,2208,1202
"75010",6948,4699,2249
"75013",11986,8107,3879
"75019",10984,7185,3799
"75020",4274,2744,1530
"75021",1321,850,471
"75022",5532,3941,1591
"75023",10788,7375,3413
"75024",9132,6043,3089
"75025",12428,8366,4062
"75028",10018,7088,2930
"75032",7892,5274,2618
"75034",19715,12742,6973
"75035",16274,10430,5844
"75038",3478,2306,1172
"75039",4029,2582,1447
"75040",9011,6052,2959
"75041",3422,2236,1186
"75042",4585,3081,1504
"75043",10568,6940,3628
"75044",9489,6503,2986
"75048",5096,3390,1706
"75050",4703,3078,1625
"75051",3350,2292,1058
"75052",13590,8877,4713
"75054",3271,2038,1233
"75056",10499,7434,3065
"75057",1360,938,422
"75058",578,364,214
"75060",5717,3854,1863
"75061",5981,4080,1897
"75062",6086,4049,2037
"75063",8371,5462,2909
"75065",2088,1440,648
"75067",7535,5292,2243
"75068",7705,5428,2277
"75069",8589,5769,2820
"75070",10466,7041,3425
"75071",12240,8097,4143
"75074",7657,5174,2483
"75075",9156,6326,2830
"75076",1832,1215,617
"75077",8573,6142,2431
"75078",5974,4021,1953
"75080",10085,6704,3381
"75081",7278,5007,2271
"75082",7203,4829,2374
"75087",8700,5897,2803
"75088",5840,3918,1922
"75089",6191,4081,2110
"75090",2875,1810,1065
"75092",4543,2852,1691
"75093",15941,10476,5465
"75094",5454,3666,1788
"75098",10056,7089,2967
"75101",43,35,8
"75102",330,228,102
"75103",1689,1113,576
"75104",7689,5191,2498
"75105",75,57,18
"75109",1461,1049,412
"75110",6371,4522,1849
"75114",708,474,234
"75115",10016,6674,3342
"75116",2589,1811,778
"75117",427,289,138
"75119",3863,2756,1107
"75124",507,345,162
"75125",658,455,203
"75126",9031,5776,3255
"75127",160,105,55
"75132",48,34,14
"75134",2336,1504,832
"75135",956,603,353
"75137",3541,2381,1160
"75140",1104,732,372
"75141",400,273,127
"75142",2612,1817,795
"75143",1822,1258,564
"75144",934,658,276
"75146",2782,1861,921
"75147",854,561,293
"75148",685,493,192
"75149",6983,4578,2405
"75150",8728,5739,2989
"75152",610,452,158
"75153",106,77,29
"75154",6400,4452,1948
"75155",274,211,63
"75156",1787,1241,546
"75157",42,27,15
"75158",614,436,178
"75159",1943,1314,629
"75160",4078,2581,1497
"75161",1018,658,360
"75163",374,270,104
"75164",50,34,16
"75165",8297,6186,2111
"75166",756,541,215
"75167",1995,1407,588
"75169",1818,1160,658
"75172",320,212,108
"75173",866,605,261
"75180",1901,1271,630
"75181",3908,2538,1370
"75182",2489,1567,922
"75189",4312,2888,1424
"75201",3770,2381,1383
"75202",551,356,195
"75203",1714,1123,591
"75204",6818,4257,2561
"75205",8233,5179,3053
"75206",9176,5811,3359
"75207",1108,754,354
"75208",6853,4455,2397
"75209",5436,3426,2010
"75210",663,477,186
"75211",8026,5395,2631
"75212",3681,2415,1266
"75214",11213,7418,3795
"75215",2121,1477,634
"75216",5721,3905,1816
"75217",7026,4835,2191
"75218",6827,4555,2272
"75219",10708,6432,4276
"75220",5992,3919,2073
"75223",2021,1360,661
"75224",4223,2895,1328
"75225",11703,7416,4287
"75226",732,466,266
"75227",6982,4717,2265
"75228",9730,6513,3217
"75229",8953,5759,3194
"75230",11978,7718,4260
"75231",6557,4261,2296
"75232",4896,3202,1694
"75233",2342,1519,823
"75234",6013,3935,2078
"75235",6254,3601,2653
"75236",1563,1014,549
"75237",1334,890,444
"75238",6972,4613,2354
"75240",3417,2221,1196
"75241",3506,2355,1151
"75243",9430,6429,3001
"75244",3728,2446,1282
"75246",591,375,216
"75247",274,170,104
"75248",11566,7690,3876
"75249",1710,1153,557
"75251",1081,626,455
"75252",9097,5698,3399
"75253",1331,892,434
"75254",3572,2297,1275
"75270",8,6,0
"75287",6888,4641,2247
"75390",50,26,24
"75401",2003,1223,780
"75402",3974,2395,1579
"75407",2530,1738,792
"75409",2716,1821,890
"75410",659,479,180
"75411",240,163,72
"75412",122,87,35
"75413",40,24,16
"75414",545,346,199
"75415",30,20,10
"75416",602,404,198
"75417",438,302,136
"75418",2515,1600,915
"75420",158,102,56
"75421",187,129,58
"75422",519,311,208
"75423",409,254,155
"75424",451,314,137
"75426",1021,686,335
"75428",1204,764,440
"75431",158,111,47
"75432",564,374,190
"75433",316,216,100
"75435",200,149,51
"75436",290,206,84
"75437",123,79,44
"75438",277,167,110
"75439",164,102,62
"75440",929,651,278
"75441",18,15,0
"75442",1520,1074,446
"75446",1123,607,516
"75447",222,140,82
"75448",95,58,37
"75449",165,104,61
"75450",47,30,17
"75451",134,96,38
"75452",662,421,241
"75453",482,306,176
"75454",2200,1485,715
"75455",3521,2380,1141
"75457",1109,746,363
"75459",581,389,192
"75460",4151,2835,1316
"75462",3495,2232,1263
"75468",220,147,73
"75469",114,63,51
"75470",49,31,18
"75471",116,75,41
"75472",399,263,136
"75473",867,599,268
"75474",1786,1142,644
"75475",31,19,12
"75476",230,149,81
"75477",159,109,50
"75478",126,83,43
"75479",264,175,89
"75480",268,191,77
"75481",81,53,28
"75482",3648,2421,1227
"75486",524,345,179
"75487",147,107,40
"75488",221,135,86
"75489",140,92,48
"75490",420,275,145
"75491",666,439,227
"75492",167,92,75
"75493",38,24,14
"75494",1379,958,421
"75495",1482,1064,418
"75496",626,377,249
"75497",716,518,198
"75501",2863,1934,929
"75503",5481,3501,1980
"75550",128,94,34
"75551",1178,839,339
"75554",234,179,55
"75555",72,55,17
"75556",106,72,34
"75558",170,114,56
"75559",479,323,156
"75560",92,61,31
"75561",378,256,122
"75562",6,6,0
"75563",274,202,72
"75565",9,8,0
"75566",34,28,6
"75567",274,193,81
"75568",237,175,62
"75569",257,183,74
"75570",687,465,222
"75571",263,189,74
"75572",269,197,72
"75573",50,34,16
"75574",92,66,26
"75601",3528,2426,1102
"75602",2450,1654,796
"75603",1206,826,380
"75604",4941,3367,1574
"75605",8958,5960,2998
"75630",246,182,64
"75631",271,181,90
"75633",1779,1169,605
"75638",691,473,218
"75639",179,128,51
"75640",588,421,167
"75641",8,6,0
"75642",32,27,0
"75643",161,100,61
"75644",1524,1111,413
"75645",1280,906,374
"75647",1944,1352,592
"75650",1549,1012,537
"75651",290,211,79
"75652",1774,1301,470
"75654",1629,1129,500
"75656",462,318,144
"75657",1028,737,291
"75661",247,200,47
"75662",3263,2280,983
"75667",126,88,38
"75668",171,124,47
"75669",74,51,23
"75670",1946,1436,510
"75672",2651,1986,665
"75681",334,227,107
"75682",88,61,27
"75683",367,256,111
"75684",592,425,167
"75686",1879,1242,637
"75691",707,441,266
"75692",281,210,65
"75693",1052,716,336
"75701",7682,4959,2715
"75702",2454,1689,765
"75703",13308,8457,4851
"75704",1259,884,375
"75705",308,226,82
"75706",855,584,271
"75707",4029,2584,1445
"75708",719,515,204
"75709",1291,833,458
"75750",554,379,175
"75751",2635,1844,791
"75752",1102,786,316
"75754",767,544,223
"75755",596,410,186
"75756",490,340,150
"75757",2738,1821,917
"75758",1812,1234,578
"75759",0,0,0
"75760",321,193,128
"75762",2677,1784,893
"75763",723,508,215
"75764",31,20,11
"75765",1705,1217,488
"75766",3233,2094,1139
"75770",513,355,155
"75771",4420,2998,1422
"75773",2070,1411,659
"75778",442,314,128
"75779",51,32,19
"75780",16,12,0
"75783",1020,677,343
"75784",84,58,26
"75785",1958,1214,744
"75788",9,6,0
"75789",1104,731,371
"75790",690,486,204
"75791",2623,1677,946
"75792",545,382,163
"75801",1820,1143,677
"75803",1782,1117,657
"75831",516,362,154
"75832",23,13,10
"75833",386,282,104
"75835",1623,1015,608
"75838",53,36,17
"75839",461,291,170
"75840",851,543,308
"75844",712,433,279
"75845",534,307,222
"75846",321,227,88
"75847",213,141,72
"75848",23,15,8
"75849",36,24,12
"75850",77,52,25
"75851",273,190,83
"75852",208,143,65
"75853",100,64,36
"75855",214,144,70
"75856",40,27,13
"75858",23,17,6
"75859",474,332,142
"75860",557,369,188
"75861",195,124,71
"75862",2683,1508,1175
"75901",5400,3607,1793
"75904",7068,4683,2385
"75925",614,405,209
"75926",195,117,78
"75928",218,169,49
"75929",352,247,105
"75930",215,152,63
"75931",802,533,269
"75932",305,193,112
"75933",251,169,82
"75934",23,17,6
"75935",1425,878,547
"75936",180,139,41
"75937",166,106,60
"75938",488,328,160
"75939",656,511,145
"75941",1181,804,377
"75942",72,47,25
"75943",255,150,105
"75944",242,162,80
"75946",555,332,223
"75948",1686,1025,661
"75949",1047,667,380
"75951",3719,2484,1235
"75954",192,123,69
"75956",1343,917,426
"75959",224,130,94
"75960",156,116,40
"75961",2502,1525,977
"75962",15,8,7
"75964",3011,1804,1207
"75965",4982,2786,2196
"75966",1027,690,337
"75968",254,160,94
"75969",751,548,203
"75972",1441,1025,416
"75973",325,212,113
"75974",240,160,80
"75975",344,214,130
"75976",211,132,79
"75977",139,94,45
"75978",27,15,12
"75979",2173,1458,715
"75980",463,315,148
"76001",6659,4103,2556
"76002",5262,3338,1924
"76006",3621,2278,1343
"76008",5034,3095,1939
"76009",1886,1297,589
"76010",4859,2940,1919
"76011",3583,2094,1489
"76012",7433,4588,2845
"76013",7440,4642,2798
"76014",3696,2391,1305
"76015",2976,1849,1127
"76016",9172,5672,3500
"76017",9672,5947,3725
"76018",3867,2439,1428
"76020",5484,3429,2055
"76021",9703,5935,3768
"76022",2664,1679,985
"76023",906,590,316
"76028",13716,9197,4519
"76031",1660,1121,539
"76033",4158,2930,1228
"76034",10593,6345,4248
"76035",358,238,120
"76036",5018,3143,1875
"76039",7115,4429,2686
"76040",6369,3947,2422
"76041",97,76,21
"76043",1334,969,365
"76044",729,482,247
"76048",5012,3754,1258
"76049",6797,5364,1433
"76050",909,608,301
"76051",12226,7693,4533
"76052",3840,2337,1503
"76053",4587,2916,1671
"76054",4255,2645,1610
"76055",408,268,140
"76058",2134,1445,689
"76059",900,569,331
"76060",2468,1380,1088
"76061",38,24,14
"76063",15558,9609,5949
"76064",275,210,65
"76065",7369,5076,2293
"76066",555,353,202
"76067",2226,1574,652
"76070",87,65,22
"76071",406,265,141
"76073",982,611,371
"76077",67,50,17
"76078",1061,679,382
"76082",2513,1544,969
"76084",931,635,296
"76085",1984,1264,720
"76086",4163,2688,1475
"76087",7315,4627,2688
"76088",2347,1502,845
"76092",10620,6681,3939
"76093",218,148,70
"76102",3337,2010,1327
"76103",2269,1397,872
"76104",3495,2176,1319
"76105",2000,1285,715
"76106",4019,2595,1424
"76107",10054,6083,3971
"76108",7259,4498,2761
"76109",8868,5235,3631
"76110",5190,3175,2015
"76111",2383,1524,859
"76112",6963,4416,2547
"76114",3919,2419,1500
"76115",1719,1103,616
"76116",11593,6853,4740
"76117",3035,1915,1120
"76118",3374,2180,1194
"76119",4703,2923,1780
"76120",2329,1471,858
"76123",7292,4435,2857
"76126",7189,4292,2897
"76127",8,0,0
"76129",26,18,8
"76131",6713,4282,2431
"76132",8827,5278,3549
"76133",10492,6390,4102
"76134",3696,2344,1352
"76135",3239,1996,1243
"76137",7930,4876,3054
"76140",3334,2148,1186
"76148",3406,2121,1285
"76155",471,336,135
"76164",2054,1201,853
"76177",3209,2050,1159
"76179",10770,6732,4038
"76180",8226,5165,3055
"76182",8303,5257,3046
"76201",3642,2538,1099
"76205",3057,2236,821
"76207",4939,3757,1182
"76208",4418,3213,1205
"76209",4232,3044,1188
"76210",8934,6359,2575
"76225",441,285,156
"76226",7161,5058,2103
"76227",6016,4295,1721
"76228",366,209,157
"76230",1772,1047,725
"76233",489,313,176
"76234",3729,2350,1374
"76238",104,67,37
"76239",217,128,89
"76240",4412,3220,1192
"76244",11438,7175,4263
"76245",300,214,86
"76247",2227,1580,647
"76248",10495,6568,3927
"76249",1323,941,382
"76250",258,170,88
"76251",189,110,79
"76252",545,385,160
"76253",9,0,0
"76255",1649,957,692
"76258",1229,868,361
"76259",695,494,201
"76261",67,36,31
"76262",7592,5135,2457
"76263",19,11,8
"76264",164,105,59
"76265",316,185,131
"76266",2219,1595,624
"76268",31,19,12
"76270",450,281,169
"76271",222,147,75
"76272",741,528,213
"76273",1134,790,344
"76301",2728,1671,1057
"76302",2912,1831,1081
"76305",1404,855,549
"76306",2524,1555,969
"76308",6139,3710,2429
"76309",3318,2035,1283
"76310",5991,3633,2358
"76311",142,85,57
"76351",448,271,177
"76354",2628,1636,992
"76357",225,126,99
"76360",1222,672,550
"76363",68,43,25
"76364",41,25,16
"76365",2201,1247,954
"76366",530,368,162
"76367",2566,1601,965
"76370",73,42,31
"76371",506,326,180
"76372",139,89,50
"76373",46,28,18
"76374",996,616,380
"76377",206,126,80
"76379",120,76,44
"76380",1600,893,707
"76384",3821,2575,1246
"76388",87,52,35
"76389",319,203,116
"76401",4005,2832,1173
"76402",10,6,0
"76424",1006,735,271
"76426",1931,1253,678
"76427",99,70,29
"76429",25,18,7
"76430",454,353,101
